,subject,age,gender,trial,colour1,colour2,col1_name,col2_name,colour_distance,category,accuracy,rt
138,85,19,f,139,"[1, -0.7, -0.4]","[1, -0.85, -0.7]",pink,red,0.3,across,1,1358.589442
139,85,19,f,140,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.85, -0.7]",pink,red,1.05,across,1,786.2689789
140,85,19,f,141,"[1, -0.7, -0.4]","[1, -0.55, -0.10000000000000009]",pink,pink,0.3,within,1,898.8919547
141,85,19,f,142,"[1, -0.775, -0.55]","[1, -1.0, -1.0]",pink,red,0.45,across,1,630.2470057
142,85,19,f,143,"[1, -0.775, -0.55]","[1, -0.55, -0.10000000000000009]",pink,pink,0.45,within,1,534.4065487
143,85,19,f,144,"[1, -0.775, -0.55]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,0.9,within,1,835.4146693
144,85,19,f,145,"[1, -0.7, -0.4]","[1, -1.0, -1.0]",pink,red,0.6,across,1,523.1845184
145,85,19,f,146,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.925, -0.85]",pink,red,1.2,across,1,949.4939391
146,85,19,f,147,"[1, -0.85, -0.7]","[1, -0.32500000000000007, 0.34999999999999987]",red,pink,1.05,across,1,576.8073255
147,85,19,f,148,"[1, -0.55, -0.10000000000000009]","[1, -0.7, -0.4]",pink,pink,0.3,within,0,739.9327714
148,85,19,f,149,"[1, -0.925, -0.85]","[1, -0.475, 0.050000000000000044]",red,pink,0.9,across,1,787.1040781
149,85,19,f,150,"[1, -0.475, 0.050000000000000044]","[1, -0.7, -0.4]",pink,pink,0.45,within,1,548.2964848
150,85,19,f,151,"[1, -0.775, -0.55]","[1, -0.4, 0.19999999999999996]",pink,pink,0.75,within,1,479.4336304
151,85,19,f,152,"[1, -1.0, -1.0]","[1, -0.32500000000000007, 0.34999999999999987]",red,pink,1.35,across,1,459.9570447
152,85,19,f,153,"[1, -0.475, 0.050000000000000044]","[1, -0.55, -0.10000000000000009]",pink,pink,0.15,within,1,840.0692701
153,85,19,f,154,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.55, -0.10000000000000009]",pink,pink,0.45,within,1,559.5149243
154,85,19,f,155,"[1, -0.4, 0.19999999999999996]","[1, -0.7, -0.4]",pink,pink,0.6,within,1,1014.430083
155,85,19,f,156,"[1, -1.0, -1.0]","[1, -0.85, -0.7]",red,red,0.3,within,1,828.4666235
156,85,19,f,157,"[1, -0.625, -0.25]","[1, -0.925, -0.85]",pink,red,0.6,across,1,1063.739408
157,85,19,f,158,"[1, -0.55, -0.10000000000000009]","[1, -0.925, -0.85]",pink,red,0.75,across,1,908.0036666
158,85,19,f,159,"[1, -0.7, -0.4]","[1, -0.625, -0.25]",pink,pink,0.15,within,1,587.5682045
159,85,19,f,160,"[1, -0.625, -0.25]","[1, -0.7, -0.4]",pink,pink,0.15,within,1,9937.331653
160,85,19,f,161,"[1, -0.475, 0.050000000000000044]","[1, -0.625, -0.25]",pink,pink,0.3,within,0,1675.5655
161,85,19,f,162,"[1, -0.925, -0.85]","[1, -0.7, -0.4]",red,pink,0.45,across,1,572.2271039
162,85,19,f,163,"[1, -1.0, -1.0]","[1, -0.925, -0.85]",red,red,0.15,within,1,1177.285712
163,85,19,f,164,"[1, -0.85, -0.7]","[1, -0.55, -0.10000000000000009]",red,pink,0.6,across,1,439.9423638
164,85,19,f,165,"[1, -0.85, -0.7]","[1, -0.4, 0.19999999999999996]",red,pink,0.9,across,1,901.8789219
165,85,19,f,166,"[1, -0.85, -0.7]","[1, -0.775, -0.55]",red,pink,0.15,across,1,831.4859072
166,85,19,f,167,"[1, -0.925, -0.85]","[1, -0.625, -0.25]",red,pink,0.6,across,1,628.0156289
167,85,19,f,168,"[1, -0.4, 0.19999999999999996]","[1, -0.475, 0.050000000000000044]",pink,pink,0.15,within,1,1078.099729
168,85,19,f,169,"[1, -0.4, 0.19999999999999996]","[1, -0.625, -0.25]",pink,pink,0.45,within,1,781.0521737
169,85,19,f,170,"[1, -0.475, 0.050000000000000044]","[1, -1.0, -1.0]",pink,red,1.05,across,1,589.7031448
170,85,19,f,171,"[1, -0.55, -0.10000000000000009]","[1, -0.625, -0.25]",pink,pink,0.15,within,0,1645.612215
171,85,19,f,172,"[1, -0.55, -0.10000000000000009]","[1, -0.85, -0.7]",pink,red,0.6,across,1,550.5437634
172,85,19,f,173,"[1, -0.625, -0.25]","[1, -1.0, -1.0]",pink,red,0.75,across,1,529.2815633
173,85,19,f,174,"[1, -0.4, 0.19999999999999996]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,0.15,within,0,1597.519632
174,85,19,f,175,"[1, -0.85, -0.7]","[1, -0.925, -0.85]",red,red,0.15,within,1,1256.847377
175,85,19,f,176,"[1, -0.4, 0.19999999999999996]","[1, -0.925, -0.85]",pink,red,1.05,across,1,511.011973
176,85,19,f,177,"[1, -0.4, 0.19999999999999996]","[1, -0.55, -0.10000000000000009]",pink,pink,0.3,within,1,2209.173883
177,85,19,f,178,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -1.0, -1.0]",pink,red,1.35,across,1,648.6704841
178,85,19,f,179,"[1, -1.0, -1.0]","[1, -0.4, 0.19999999999999996]",red,pink,1.2,across,1,618.3806975
179,85,19,f,180,"[1, -0.625, -0.25]","[1, -0.55, -0.10000000000000009]",pink,pink,0.15,within,1,666.688724
