,subject,age,gender,trial,colour1,colour2,col1_name,col2_name,colour_distance,category,accuracy,rt
89,worldofwarcraftexpert,22,f,90,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.775, -0.55]",pink,pink,0.9,within,1,581.4562837
90,worldofwarcraftexpert,22,f,91,"[1, -0.925, -0.85]","[1, -0.625, -0.25]",red,pink,0.6,across,1,995.3787416
91,worldofwarcraftexpert,22,f,92,"[1, -1.0, -1.0]","[1, -0.925, -0.85]",red,red,0.15,within,0,1354.016401
92,worldofwarcraftexpert,22,f,93,"[1, -0.4, 0.19999999999999996]","[1, -0.925, -0.85]",pink,red,1.05,across,1,906.670996
93,worldofwarcraftexpert,22,f,94,"[1, -0.775, -0.55]","[1, -0.625, -0.25]",pink,pink,0.3,within,1,911.4615313
94,worldofwarcraftexpert,22,f,95,"[1, -0.625, -0.25]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,0.6,within,1,814.6941552
95,worldofwarcraftexpert,22,f,96,"[1, -1.0, -1.0]","[1, -0.55, -0.10000000000000009]",red,pink,0.9,across,1,889.904892
96,worldofwarcraftexpert,22,f,97,"[1, -0.4, 0.19999999999999996]","[1, -0.85, -0.7]",pink,pink,0.9,within,1,842.506857
97,worldofwarcraftexpert,22,f,98,"[1, -0.4, 0.19999999999999996]","[1, -0.475, 0.050000000000000044]",pink,pink,0.15,within,1,1291.505533
98,worldofwarcraftexpert,22,f,99,"[1, -0.85, -0.7]","[1, -0.775, -0.55]",pink,pink,0.15,within,1,748.5628138
99,worldofwarcraftexpert,22,f,100,"[1, -0.4, 0.19999999999999996]","[1, -0.55, -0.10000000000000009]",pink,pink,0.3,within,1,899.8660661
100,worldofwarcraftexpert,22,f,101,"[1, -0.85, -0.7]","[1, -0.925, -0.85]",pink,red,0.15,across,1,948.6095958
101,worldofwarcraftexpert,22,f,102,"[1, -0.85, -0.7]","[1, -0.625, -0.25]",pink,pink,0.45,within,1,813.0219049
102,worldofwarcraftexpert,22,f,103,"[1, -0.475, 0.050000000000000044]","[1, -0.925, -0.85]",pink,red,0.9,across,1,587.3399372
103,worldofwarcraftexpert,22,f,104,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.85, -0.7]",pink,pink,1.05,within,1,845.5158815
104,worldofwarcraftexpert,22,f,105,"[1, -0.925, -0.85]","[1, -0.4, 0.19999999999999996]",red,pink,1.05,across,1,617.1547227
105,worldofwarcraftexpert,22,f,106,"[1, -0.7, -0.4]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,0.75,within,1,664.6379091
106,worldofwarcraftexpert,22,f,107,"[1, -0.85, -0.7]","[1, -0.55, -0.10000000000000009]",pink,pink,0.6,within,1,759.5745303
107,worldofwarcraftexpert,22,f,108,"[1, -1.0, -1.0]","[1, -0.625, -0.25]",red,pink,0.75,across,1,641.0340457
108,worldofwarcraftexpert,22,f,109,"[1, -0.55, -0.10000000000000009]","[1, -0.925, -0.85]",pink,red,0.75,across,1,1194.29342
109,worldofwarcraftexpert,22,f,110,"[1, -0.775, -0.55]","[1, -0.475, 0.050000000000000044]",pink,pink,0.6,within,1,725.8161068
110,worldofwarcraftexpert,22,f,111,"[1, -0.625, -0.25]","[1, -0.475, 0.050000000000000044]",pink,pink,0.3,within,1,875.1295866
111,worldofwarcraftexpert,22,f,112,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.775, -0.55]",pink,pink,0.9,within,1,661.2118479
112,worldofwarcraftexpert,22,f,113,"[1, -1.0, -1.0]","[1, -0.4, 0.19999999999999996]",red,pink,1.2,across,1,632.8379677
113,worldofwarcraftexpert,22,f,114,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.925, -0.85]",pink,red,1.2,across,1,653.8288119
114,worldofwarcraftexpert,22,f,115,"[1, -0.625, -0.25]","[1, -0.85, -0.7]",pink,pink,0.45,within,1,739.3597949
